name,category,city,district,address,tel,pet_policy,fee,notes,source,last_updated,confidence,friendliness_level
锦园酒店(望京科技园华彩中心店),hotel,北京,朝阳区,望京北路39号10号楼1层,18500314568,宠物友好房型,未知,笙品大床房-宠物友好,同程,2026-07-28,高,1
锦江之星风尚(东直门三里屯店),hotel,北京,东城区,东直门外南二里庄29号1幢,010-64934221,猫猫宠物房/狗狗宠物房,未知,经济型,同程,2026-07-28,高,2
建国璞隐酒店(环球度假区店),hotel,北京,通州区,梨园镇京洲南街58号,,收费携带宠物,收费,近环球度假区,携程,2026-07-28,高,1
北京出去玩儿宠物友好民宿,hotel,北京,延庆区,近八达岭,,允许携带宠物免费,免费,可带狗猫;押金500,携程,2026-07-28,高,1
MARSMART火星宠物超市+早晚咖啡,cafe,北京,朝阳区,百子湾路16号百子园17号楼1层105,,宠物友好,未知,宠物超市+咖啡,visitbeijing,2026-07-28,低,1
The Rug(朝阳公园店),restaurant,北京,朝阳区,朝阳公园南路丽水嘉园4号楼1层,,宠物友好+宠物菜单,未知,西餐/brunch,visitbeijing,2026-07-28,低,1
南霂92号-东南亚美食,restaurant,北京,朝阳区,东四环中路92号院37号楼2层,,宠物友好(建议预订角落位),未知,东南亚菜;门口有草地,visitbeijing,2026-07-28,低,1
喜庆火锅-火车主题餐厅,restaurant,北京,朝阳区,半截塔路55号七棵树文创园C9,,宠物友好(建议订包厢),未知,重庆火锅;绿皮车厢,visitbeijing,2026-07-28,低,1
SOAP coffee,cafe,北京,朝阳区,酒仙桥十里居48号燕莎后2号楼底商2-07,,宠物友好,未知,韩系简约,visitbeijing,2026-07-28,低,1
ZENG餐厅(马家堡店),restaurant,北京,丰台区,嘉园南街马家堡街道社区文化中心东侧,,宠物友好,未知,创意融合菜,头条,2026-07-28,低,1
光合作用coffee(丰台科技园店),cafe,北京,丰台区,丰台科技园9号楼创新中心一层东北角,,未知,未知,安静;适合办公自习,头条,2026-07-28,低,2
小意思咖啡(草桥店),cafe,北京,丰台区,草桥世界花卉大观园北门花朝街园内,,宠物友好,未知,室内外可携宠;屋后有草坪,头条,2026-07-28,低,1
喏町咖啡(南中轴店),cafe,北京,丰台区,,宠物友好(提供饮用水),未知,户外区域佳,头条,2026-07-28,,低,2
VOYAGE COFFEE(798店),cafe,北京,朝阳区,798艺术区,,宠物友好,未知,店员主动端水给宠物,百度,2026-07-28,低,1
孟林厨房,restaurant,北京,朝阳区,798艺术区,,宠物友好(室内可带狗),未知,云南口味川菜,百度,2026-07-28,低,1
白小狗号,cafe,北京,朝阳区,798艺术区,,宠物友好,未知,萨摩耶主题,百度,2026-07-28,低,1
Tian Roast咖啡(798二店),cafe,北京,朝阳区,798艺术区,,宠物友好,未知,户外座位;宠物奶油杯,百度,2026-07-28,低,1
cabo coffee,cafe,北京,朝阳区,北京街13号,,宠物友好(室外),未知,东京拿铁,网易,2026-07-28,低,1
得劲儿咖啡馆,cafe,北京,朝阳区,朝阳路小庄6号2号楼,,宠物友好,未知,有手冲,网易,2026-07-28,低,1
the bake shop,cafe,北京,东城区,宝钞胡同63号,,宠物可进室内,未知,偶尔有宠物活动;送宠物零食,网易,2026-07-28,低,2
苟市酒馆,cafe,北京,朝阳区,呼家楼北里小区8号,,宠物友好,未知,精酿啤酒;老板爱狗,网易,2026-07-28,低,1
Panorama,restaurant,北京,朝阳区,三里屯路机电院81号楼,,宠物友好,未知,法式复古;西餐,网易,2026-07-28,低,1
摩卡站(三里屯店),restaurant,北京,朝阳区,三里屯那里花园1层,,宠物友好,未知,轻食,网易,2026-07-28,低,1
toast at the orchid,restaurant,北京,东城区,宝钞胡同65号,,宠物友好,未知,地中海&以色列菜,网易,2026-07-28,低,1
