name,category,city,district,address,tel,pet_policy,fee,notes,source,last_updated,confidence,friendliness_level,longitude,latitude
锦园酒店(望京科技园华彩中心店),hotel,北京,朝阳区,望京北路39号10号楼1层,18500314568,宠物友好房型,未知,笙品大床房-宠物友好,同程,2026-07-28,高,1,116.473091,40.013056
锦江之星风尚(东直门三里屯店),hotel,北京,东城区,东直门外南二里庄29号1幢,010-64934221,猫猫宠物房/狗狗宠物房,未知,经济型,同程,2026-07-28,高,2,116.453504,39.937652
建国璞隐酒店(环球度假区店),hotel,北京,通州区,梨园镇京洲南街58号,,收费携带宠物,收费,近环球度假区,携程,2026-07-28,高,1,116.681936,39.854556
北京出去玩儿宠物友好民宿,hotel,北京,延庆区,近八达岭,,允许携带宠物免费,免费,可带狗猫;押金500,携程,2026-07-28,高,1,116.170269,40.234839
MARSMART火星宠物超市+早晚咖啡,cafe,北京,朝阳区,百子湾路16号百子园17号楼1层105,,宠物友好,未知,宠物超市+咖啡,visitbeijing,2026-07-28,低,1,116.485746,39.900178
The Rug(朝阳公园店),restaurant,北京,朝阳区,朝阳公园南路丽水嘉园4号楼1层,,宠物友好+宠物菜单,未知,西餐/brunch,visitbeijing,2026-07-28,低,1,,
南霂92号-东南亚美食,restaurant,北京,朝阳区,东四环中路92号院37号楼2层,,宠物友好(建议预订角落位),未知,东南亚菜;门口有草地,visitbeijing,2026-07-28,低,1,116.492138,39.891862
喜庆火锅-火车主题餐厅,restaurant,北京,朝阳区,半截塔路55号七棵树文创园C9,,宠物友好(建议订包厢),未知,重庆火锅;绿皮车厢,visitbeijing,2026-07-28,低,1,116.525608,39.963837
SOAP coffee,cafe,北京,朝阳区,酒仙桥十里居48号燕莎后2号楼底商2-07,,宠物友好,未知,韩系简约,visitbeijing,2026-07-28,低,1,116.499224,39.958142
ZENG餐厅(马家堡店),restaurant,北京,丰台区,嘉园南街马家堡街道社区文化中心东侧,,宠物友好,未知,创意融合菜,头条,2026-07-28,低,1,,
光合作用coffee(丰台科技园店),cafe,北京,丰台区,丰台科技园9号楼创新中心一层东北角,,未知,未知,安静;适合办公自习,头条,2026-07-28,低,2,116.299955,39.824845
小意思咖啡(草桥店),cafe,北京,丰台区,草桥世界花卉大观园北门花朝街园内,,宠物友好,未知,室内外可携宠;屋后有草坪,头条,2026-07-28,低,1,116.353977,39.83972
喏町咖啡(南中轴店),cafe,北京,丰台区,,宠物友好(提供饮用水),未知,户外区域佳,头条,2026-07-28,,低,2,116.581175,39.784075
VOYAGE COFFEE(798店),cafe,北京,朝阳区,798艺术区,,宠物友好,未知,店员主动端水给宠物,百度,2026-07-28,低,1,,
孟林厨房,restaurant,北京,朝阳区,798艺术区,,宠物友好(室内可带狗),未知,云南口味川菜,百度,2026-07-28,低,1,,
白小狗号,cafe,北京,朝阳区,798艺术区,,宠物友好,未知,萨摩耶主题,百度,2026-07-28,低,1,116.495027,39.983285
Tian Roast咖啡(798二店),cafe,北京,朝阳区,798艺术区,,宠物友好,未知,户外座位;宠物奶油杯,百度,2026-07-28,低,1,116.495027,39.983285
cabo coffee,cafe,北京,朝阳区,北京街13号,,宠物友好(室外),未知,东京拿铁,网易,2026-07-28,低,1,116.420834,39.887571
得劲儿咖啡馆,cafe,北京,朝阳区,朝阳路小庄6号2号楼,,宠物友好,未知,有手冲,网易,2026-07-28,低,1,,
the bake shop,cafe,北京,东城区,宝钞胡同63号,,宠物可进室内,未知,偶尔有宠物活动;送宠物零食,网易,2026-07-28,低,2,116.399533,39.943545
苟市酒馆,cafe,北京,朝阳区,呼家楼北里小区8号,,宠物友好,未知,精酿啤酒;老板爱狗,网易,2026-07-28,低,1,116.516164,39.925977
Panorama,restaurant,北京,朝阳区,三里屯路机电院81号楼,,宠物友好,未知,法式复古;西餐,网易,2026-07-28,低,1,116.456619,39.930604
摩卡站(三里屯店),restaurant,北京,朝阳区,三里屯那里花园1层,,宠物友好,未知,轻食,网易,2026-07-28,低,1,,
toast at the orchid,restaurant,北京,东城区,宝钞胡同65号,,宠物友好,未知,地中海&以色列菜,网易,2026-07-28,低,1,116.399023,39.943438
His & Hers 歇歇角农场咖啡,cafe,北京,怀柔区,,宠物友好,未知,农场咖啡;工作日人少,大众点评,2026-07-28,,低,2,,
Wolfing coffee(卫星厂店),cafe,北京,,卫星厂园区,,宠物友好,未知,整个园区宠物友好,大众点评,2026-07-28,中,1,,
爱江山park coffee,cafe,北京,,,宠物友好,未知,户外空间大;有草坪,大众点评,2026-07-28,,低,2,,
LOOSEGOOSE大鹅咖啡(甜水园店),cafe,北京,朝阳区,甜水园,,宠物友好,未知,,大众点评,2026-07-28,中,1,116.478902,39.92858
Hooooot Dog宠物咖啡,cafe,北京,,,宠物友好,未知,网红店;狗多,大众点评,2026-07-28,,低,2,,
ONSITEEE(星火西路店),cafe,北京,朝阳区,星火西路,,宠物友好,未知,网红店,大众点评,2026-07-28,中,1,116.501834,39.943013
老山城市休闲公园,park,北京,石景山区,老山南路与上庄大街交叉口西北角,,宠物友好需牵绳,免费,免费免预约;懒人爬山,visitbeijing,2026-07-28,低,1,,
大兴狼垡城市森林公园,park,北京,大兴区,芦求路与京良路交叉口附近,,官方认证宠物友好,免费,需养犬登记证+疫苗证明;24小时,visitbeijing,2026-07-28,低,1,116.275384,39.776698
崔家窑湿地公园,park,北京,海淀区,宏丰渠东路与大牛房五巷交叉口东北角,,宠物友好需牵绳,免费,2万平米水系,visitbeijing,2026-07-28,低,1,116.223277,40.082432
黄草湾郊野公园,park,北京,朝阳区,大屯街道北五环路,,宠物友好需牵绳,免费,地广人稀;全天,visitbeijing,2026-07-28,低,1,116.431524,40.008673
CKC国际宠物公园,park,北京,通州区,宋庄镇大邓各庄村西南角,,宠物主题乐园,游泳池50元/只,超10万平米,visitbeijing,2026-07-28,低,2,,
法海寺森林公园,park,北京,石景山区,翠微山南麓模式口28号,,公园可带宠物(寺院不能进),免费,休闲步道,visitbeijing,2026-07-28,低,2,116.16003,39.940625
青龙湖森林公园,park,北京,房山区,,可遛狗(野),免费,大绿地无遮挡,头条,2026-07-28,,低,2,116.051637,39.782286
首钢园·永定河集,park,北京,石景山区,,宠物友好citywalk,免费,沿河草坪开阔,头条,2026-07-28,,低,2,116.149435,39.918172
槐新公园,park,北京,丰台区,,可遛狗(可露营),免费,人少树多安静,头条,2026-07-28,,低,2,,
丽泽滨水文化公园(二期),park,北京,丰台区,,可遛狗,免费,草坪大,头条,2026-07-28,,低,2,116.325673,39.858414
南苑公园,park,北京,丰台区,,可遛狗,免费,草坪大;傍晚晚霞,头条,2026-07-28,,低,2,116.378675,39.806508
天元公园,park,北京,丰台区,,可遛狗,免费,银杏季出片,头条,2026-07-28,,低,2,116.264104,39.877094
红星集体农庄纪念公园,park,北京,大兴区,,可遛狗,免费,开放式;大片空地,头条,2026-07-28,,低,2,,
北臧村郊野公园,park,北京,大兴区,,可遛狗,免费,人少地大;可玩水,头条,2026-07-28,,低,2,116.32264,39.674096
通明湖公园,park,北京,通州区,,可遛狗,免费,湿地公园;安静,头条,2026-07-28,,低,2,116.580187,39.77933
红领巾公园,park,北京,朝阳区,,可遛狗,免费,冬天可滑冰,头条,2026-07-28,,低,2,116.491796,39.927301
马家湾公园,park,北京,朝阳区,,可遛狗,免费,面积大,头条,2026-07-28,,低,2,,
中关村森林公园,park,北京,海淀区,,可遛狗(可露营过夜),免费,够野够大,头条,2026-07-28,,低,2,116.288359,40.057806
园外园茶棚公园,park,北京,海淀区,,可遛狗,免费,人少安静,头条,2026-07-28,,低,2,116.246431,39.975837
东风公园,park,北京,朝阳区,,免费儿童公园+收费宠物乐园,部分收费,适合全家,头条,2026-07-28,,低,1,116.517008,39.956631
镇海寺郊野公园,park,北京,朝阳区,,可遛狗(可露营),免费,人少草坪大,头条,2026-07-28,,低,2,,
勇士营郊野公园,park,北京,朝阳区,,可遛狗,免费,有大草坪,头条,2026-07-28,,低,2,,
绿堤公园,park,北京,丰台区,,可遛狗,免费,绿荫大,头条,2026-07-28,,低,2,116.240841,39.828166
云岗森林公园,park,北京,丰台区,,可遛狗,免费,人少树多,头条,2026-07-28,,低,2,116.159716,39.824623
新发地海子公园,park,北京,丰台区,,可遛狗,免费,西门免费停车,头条,2026-07-28,,低,2,116.348935,39.816616
亦庄滨河森林公园,park,北京,大兴区,,可遛狗,免费,长步道+塑胶跑道,头条,2026-07-28,,低,2,,
金福湿地公园,park,北京,通州区,,可遛狗(可露营),免费,人少;可开车进去,头条,2026-07-28,,低,2,116.601029,39.826254
一尺花园(宠物主题店),cafe,上海,奉贤区,洪运路198号,,宠物友好,未知,室内外3万㎡;户外草坪超1万㎡,腾讯新闻,2026-07-28,低,1,121.686872,30.923567
